Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
BEYNOST,1,L'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,2953,1476,GOY-CHAVENT Sylvie,Sénat
BEY-SUR-SEILLE,54,Le remplacement de la porte d'entrée donnant accès au logement communal,2100,1000,HUSSON Jean-François,Sénat
BEY-SUR-SEILLE,54,"La réfection du chemin rural ""Entre Scy et l'Etang"" et l'aménagement d'une plate-forme de retournement pour les camions à l'entrée de la forêt communale",40220,5000,NACHBAR Philippe,Sénat
BEZALLES,77,"L'aménagement d'une sente piétonne, rue de la Légende",31187,14000,JACOB Christian,Assemblée nationale
BEZANGE-LA-GRANDE,54,La réfection de la route du Vic,25500,5000,DIDIER Evelyne,Sénat
BEZANGE-LA-GRANDE,54,La réfection de la voie communale d'Hoéville,39265,2500,HUSSON Jean-François,Sénat
BEZAUDUN-LES-ALPES,6,L'édification d'un columbarium,7800,3900,HERVIAUX Odette,Sénat
BEZIERS,34,La mise en lumière et la sécurisation des allées Paul Riquet,1062322,150000,-,Réserve ministérielle
BEZIERS,34,"La requalification de l'entrée de la ville, route de Bédarieux (RD 909)",3680461,80000,COUDERC Raymond,Sénat
BEZU-LE-GUERY,2,L'extension de la salle polyvalente,152700,10000,VASSEUR Isabelle,Assemblée nationale
BIARROTTE,40,La réhabilitation du bâtiment communal Jules Ferry,195359,15000,CARTRON Françoise,Sénat
BIDACHE,64,L'extension de la salle associative et culturelle,159630,5000,LASSERRE Jean-Jacques,Sénat
BIDACHE,64,L'aménagement d'un jardin médiéval,69420,5000,MARC François,Sénat
BIDARRAY,64,La réhabilitation du bâtiment Artetxea,1695000,10000,-,Réserve ministérielle
BIDART,64,"La réfection des façades de l'immeuble ""Ximinxar""",94243,20000,MARC François,Sénat
BIDING,57,La mise aux normes électriques de l'église et le remplacement de la porte d'entrée de l'école,5640,2600,MARC François,Sénat
BIDOS,64,"La réfection de la chaussée et la création d'un trottoir, rue Saint-Martin",235369,10000,-,Réserve ministérielle
BIDOS,64,L'extension et le renforcement du réseau d'eau de la rue Georges Lacoste,39048,5000,JEANNEROT Claude,Sénat
BIEF-DU-FOURG,39,Le remplacement de fenêtres au bâtiment communal,8963,4481,DALLOZ Marie-Christine,Assemblée nationale
BIEF-DU-FOURG,39,La restauration du Monument aux Morts,8546,2550,BAILLY Gérard,Sénat
BIEFVILLERS-LES-BAPAUME,62,La sécurisation et l'aménagement piétonnier de la route départementale n°7 (1ère phase),163648,10000,JEANNEROT Claude,Sénat
BIERNE,53,"L'effacement des réseaux et l'aménagement de l'éclairage public, rue Jean Bourré",49272,10000,BERNIER Marc,Assemblée nationale
BIEUZY,56,L'installation d'une unité de traitement et d'un réseau d'assainissement des eaux usées au hameau de Kersulan,418226,10000,HERVIAUX Odette,Sénat
BIEVILLE,50,L'extension du réseau d'éclairage public dans le bourg,11521,5700,GOSSELIN Philippe,Assemblée nationale
BIEVRES,91,La réfection de l'atelier d'Odilon Redon,50000,25000,LASBORDES Pierre,Assemblée nationale
BIGANOS,33,L'installation d'un système de vidéo-protection,342379,10000,DES ESGAULX Marie-Hélène,Sénat
BIGNAN,56,La restauration des vitraux de la chapelle Sainte Noyale du Bezo,15705,5000,LORGEOUX Gérard,Assemblée nationale
BIGNAN,56,L'extension de la mairie,423200,20000,LORGEOUX Gérard,Assemblée nationale
BIGUGLIA,2B,L'acquisition d'un camion de voirie,41000,20000,GANDOLFI-SCHEIT Sauveur,Assemblée nationale
BILIEU,38,Le traitement des charpentes de l'ancienne mairie-école,35000,10000,DAVID Annie,Sénat
BILLEY,21,La réfection de la voirie (programme 2012),37391,10000,DELATTE Rémi,Assemblée nationale
BILLEY,21,L'acquisition d'un tableau interactif avec option ordinateur portable pour l'école,3758,1879,HOUPERT Alain,Sénat
BILLEZOIS,3,"L'acquisition d'un terrain situé au lieu-dit ""Le Ponçut""",50000,4500,CHARASSE Gérard,Assemblée nationale
BILLIEME,73,L'aménagement de la RD 44 en traversée du village,493694,15000,DORD Dominique,Assemblée nationale
BILLIERS,56,La construction de la Maison du l'Her,1313030,40000,GOULARD François,Assemblée nationale
BILLIO,56,La mise en valeur de la fontaine,14580,7000,LORGEOUX Gérard,Assemblée nationale
BILLY,14,L'aménagement sécuritaire de la RD 232 en traversée du bourg (tranches 1 et 2),412098,9000,COUSIN Jean-Yves,Assemblée nationale
BILLY-MONTIGNY,62,L'équipement informatique et l'acquisition de tableaux blancs interactifs pour l'école primaire Voltaire,25504,2500,DELCOURT Guy,Assemblée nationale
BILLY-SUR-OURCQ,2,L'acquisition de matériel informatique et de logiciels pour la mairie,4138,2000,VASSEUR Isabelle,Assemblée nationale
BINDERNHEIM,67,La réhabilitation et la mise en accessibilité de la salle polyvalente,300000,19000,HERTH Antoine,Assemblée nationale
BINING,57,La restauration de l'orgue de l'église,36391,5000,LETT Céleste,Assemblée nationale
BINOS,31,L'extension du cimetière,72335,21700,CARRERE Jean-Louis,Sénat
BIO,46,L'aménagement du coeur de village,248000,8000,LAUNAY Jean,Assemblée nationale
BIONCOURT,57,L'édification d'une stèle commémorant le 70ème anniversaire de l'expulsion des familles de Bioncourt,1735,693,-,Réserve ministérielle
BIONVILLE,54,La construction d'un garage communal,42913,5000,REINER Daniel,Sénat
BIONVILLE-SUR-NIED,57,La remise en ordre de la stabilité du beffroi,4927,1000,LE MENN Jacky,Sénat
BIONVILLE-SUR-NIED,57,L'acquisition d'une armoire de sécurité,3278,900,LEROY Philippe,Sénat
BIONVILLE-SUR-NIED,57,La remise en état du parc de défense incendie extérieure,1531,750,MARC François,Sénat
BIONVILLE-SUR-NIED,57,La réfection de la toiture du logement situé dans le bâtiment mairie et des travaux de ventilation,3970,1800,MASSON Jean-Louis,Sénat
BIOULE,82,Travaux d'éclairage public et l'enfouissement du réseau de télécommunications,49084,10000,BAYLET Jean-Michel,Sénat
BIRAC-SUR-TREC,47,L'aménagement du bourg,127352,12000,DIEFENBACHER Michel,Assemblée nationale
BIRAS,24,L'extension et la mise aux normes de la salle des fêtes-mairie (1ère et 2ème tranches),688000,3000,RAOUL Daniel,Sénat
BIRIEUX,1,L'aménagement d'un square avec jeux pour enfants,50930,5000,VOISIN Michel,Assemblée nationale
BISCHWIHR,68,L'aménagement sécuritaire du carrefour de la RD 45 et de la RD 111,570130,20000,JEANNEROT Claude,Sénat
BISCHWILLER,67,La mise en accessibilité des écoles maternelles du Centre et Chérifi,50669,1900,KELLER Fabienne,Sénat
BISSY-SOUS-UXELLES,71,L'aménagement d'un espace public intergénérationnel,54072,7000,MATHUS Didier,Assemblée nationale
BISSY-SUR-FLEY,71,La construction d'une nouvelle mairie,229933,15000,SIRUGUE Christophe,Assemblée nationale
BISTROFF,57,La construction d'une chaufferie et l'installation d'une chaudière,8292,4000,MARTY Alain,Assemblée nationale
BIVIERS,38,L'extension du restaurant scolaire et la construction d'une salle multi-activités,936900,5000,FIORASO Geneviève,Assemblée nationale
BIVILLE-LA-BAIGNARDE,76,La réfection du court de tennis du complexe sportif,26272,1500,MORIN-DESAILLY Catherine,Sénat
BIZANOS,64,"La restauration du collatéral ""est"" de la nef de l'église Saint-Magne",20715,10000,BAYROU François,Assemblée nationale
BIZENEUILLE,3,La restauration du clocher de l'église (2ème tranche),152525,10000,DERIOT Gérard,Sénat
BLAGNY,8,Travaux de sécurisation de voirie et la réfection de trottoirs,287038,5000,HURE Benoît,Sénat
BLAGNY-SUR-VINGEANNE,21,La réhabilitation de la salle à usages multiples,16859,5000,-,Réserve ministérielle
BLAISON-GOHIER,49,Le transfert de la mairie dans l'ancien presbytère,760650,15000,BECHU Christophe,Sénat
BLAMONT,25,"La réhabilitation du bâtiment de la poste en bibliothèque-médiathèque, espace culturel et de rencontres, aire multiservices, agence postale et logements locatifs",660000,9200,MOSCOVICI Pierre,Assemblée nationale
BLAN,81,L'extension de la mairie,28555,14277,-,Réserve ministérielle
BLAN,81,"L'acquisition d'un tracteur, d'une épareuse et d'un chargeur",58500,3000,LE MENN Jacky,Sénat
BLANCAFORT,18,Le réaménagement de la cuisine de la salle des fêtes et la remise aux normes du matériel,20816,7500,PILLET François,Sénat
BLANCHEFOSSE-ET-BAY,8,La rénovation d'un logement communal dans l'ancienne école du village,55528,6000,-,Réserve ministérielle
BLANDAS,30,L'extension du cimetière,15075,5000,FOURNIER Jean-Paul,Sénat
BLANDIN,38,La rénovation du rocher de la Vierge à l'enfant,5126,1500,SAUGEY Bernard,Sénat
BLANDY,91,Le remplacement des branchements d'eau et des regards compteurs,40180,20000,MARLIN Franck,Assemblée nationale
BLANNAY,89,"La réfection de la voirie, rue Basse et rue de la Tourelle",50210,3500,VILLIERS André,Sénat
BLANOT,21,La réhabilitation des murs du cimetière,15804,4741,REBSAMEN François,Sénat
BLANZAC-PORCHERESSE,16,La réhabilitation du réseau d'assainissement,297000,10000,SUEUR Jean-Pierre,Sénat
BLANZY-LA-SALONNAISE,8,"La construction de trottoirs et l'aménagement de caniveaux, rue d'Avançon",31215,3100,POLETTI Bérengère,Assemblée nationale
BLAUSASC,6,"La mise en sécurité et l'extension de la route, Quartier Vienna",47445,10000,GUIBAL Jean-Claude,Assemblée nationale
BLAUZAC,30,L'extension de l'école publique,238290,5000,CARTRON Françoise,Sénat
BLENOD-LES-TOUL,54,La construction d'un centre de première intervention intégré,223589,30000,-,Réserve ministérielle
BLERUAIS,35,"L'aménagement du bourg (voirie, espaces verts et luminaires)",14970,5000,de LEGGE Dominique,Sénat
BLEURVILLE,88,La reconstruction du pont du Neufmont,50235,4000,GAULTIER Jean-Jacques,Assemblée nationale
BLEURY-SAINT-SYMPHORIEN,28,"L'assainissement, route d'Ymeray et rue du Moulin (4ème et 5ème tranches conditionnelles)",288128,15000,GORGES Jean-Pierre,Assemblée nationale
BLEVAINCOURT,88,La réfection du réservoir communal et de la tour du château d'eau,112191,6000,GAULTIER Jean-Jacques,Assemblée nationale
BLIENSCHWILLER,67,La mise en sécurité de la traversée du village (1ère tranche),119058,19000,HERTH Antoine,Assemblée nationale
BLIEUX,4,La réfection de la toiture du presbytère,24175,6000,DOMEIZEL Claude,Sénat
BLIGNY-LE-SEC,21,L'installation d'un surpresseur sur le réseau d'eau potable,20380,5000,HOUPERT Alain,Sénat
BLINCOURT,60,La restauration de l'église Saint-Nicolas,150469,50000,-,Réserve ministérielle
BLOYE,74,L'installation d'une sonorisation à la salle des fêtes,2918,1458,ACCOYER Bernard,Assemblée nationale
BLOYE,74,L'installation d'une alarme incendie à la salle des fêtes,1935,967,ACCOYER Bernard,Assemblée nationale
BLOYE,74,"Travaux d'entretien, de goudronnage et de marquage de la voirie",58285,29142,ACCOYER Bernard,Assemblée nationale
BLOYE,74,La pose d'un grillage autour du jardinet de l'école,2359,1179,ACCOYER Bernard,Assemblée nationale
BLOYE,74,L'acquisition de matériel informatique,10987,5493,ACCOYER Bernard,Assemblée nationale
BLUFFY,74,L'aménagement intérieur de la nouvelle salle communale,163600,81800,ACCOYER Bernard,Assemblée nationale
BLUFFY,74,L'aménagement du cimetière,32352,7000,AMOUDRY Jean-Paul,Sénat
BLUFFY,74,La mise en accessibilité du chef-lieu par l'aménagement de la place du Général de Gaulle,397110,20000,CARLE Jean-Claude,Sénat
BLUFFY,74,La construction d'un parking au Chef-Lieu,27525,10000,HERISSON Pierre,Sénat
BLUSSANS,25,La restauration de la toiture de l'église et du clocher,77740,4000,BONNOT Marcel,Assemblée nationale
BLYES,1,L'acquisition d'un défibrillateur cardiaque,1981,990,GOY-CHAVENT Sylvie,Sénat
BOBIGNY,93,La réfection et l'extension du conservatoire Jean Wiener,2000000,60000,ASSASSI Eliane,Sénat
BOCQUEGNEY,88,La construction d'un hangar communal,59900,6000,GAULTIER Jean-Jacques,Assemblée nationale
BOECE,61,La réfection de la toiture de la salle des fêtes,19000,2000,LENOIR Jean-Claude,Sénat
BOINVILLE-LE-GAILLARD,78,Aménagements de sécurité aux abords des établissements scolaires et à la mairie,38440,15000,LARCHER Gérard,Sénat
BOIRY-SAINTE-RICTRUDE,62,L'aménagement de la rue de l'Eglise,560400,5600,VANLERENBERGHE Jean-Marie,Sénat
BOIS-ANZERAY,27,La pose de volets roulants à la mairie,2379,1000,PONIATOWSKI Ladislas,Sénat
BOIS-COLOMBES,92,"L'extension de l'établissement d'accueil petite enfance ""L""Oiseau bleu"" situé 35, rue Gramme",326084,30000,DEBRE Isabelle,Sénat
BOIS-COLOMBES,92,"Le réaménagement d'espaces au sein de l'établissement d'accueil petite enfance ""Les Pitchouns"" situé 17, rue Mertens",93253,30000,MARSEILLE Hervé,Sénat
BOIS-D'AMONT,39,L'extension et la réhabilitation de la salle polyvalente,1605447,9000,BAILLY Gérard,Sénat
BOIS-D'ARCY,89,La restauration extérieure de la chapelle Sainte-Radegonde,24732,2500,VILLIERS André,Sénat
BOIS-DE-CENE,85,La construction d'une cantine et d'une garderie périscolaire,663554,10000,RETAILLEAU Bruno,Sénat
BOISEMONT,27,L'acquisition de mobilier et de matériel pour la bibliothèque municipale,4622,2310,BOURDIN Joël,Sénat
BOISEMONT,27,L'acquisition de mobilier scolaire,5019,2500,MAUREY Hervé,Sénat
BOISGERVILLY,35,L'aménagement du bourg (1ère tranche),836409,12000,de LEGGE Dominique,Sénat
BOIS-HELLAIN,27,La restauration du clocher de l'église,13133,3000,MORIN Hervé,Assemblée nationale
BOIS-HIMONT,76,"L'aménagement d'une sente piétonnière le long de la voie communale n°3, rue de la Pierre Noire",92000,9000,TRASSY-PAILLOGUES Alfred,Assemblée nationale
BOISLEUX-SAINT-MARC,62,La restauration du calvaire,10753,5375,VANLERENBERGHE Jean-Marie,Sénat
BOIS-L'EVEQUE,76,La construction d'un bâtiment technique communal,108935,20000,GUEGOT Françoise,Assemblée nationale
BOISMONT,80,L'acquisition et la pose de radars dissuasifs,13746,6873,BIGNON Jérôme,Assemblée nationale
BOISMONT,54,La requalification de la rue du Bosquet,35653,3000,REINER Daniel,Sénat
BOISMORAND,45,La construction d'un parking aux abords de l'école et du complexe sportif (2ème tranche),33522,10000,SUEUR Jean-Pierre,Sénat
BOISNEY,27,L'aménagement d'un parking aux abords de l'école,6208,1800,NICOLAS Jean-Pierre,Assemblée nationale
BOISNEY,27,"La réfection de l'éclairage public, rue de la Mairie",2014,1000,PONIATOWSKI Ladislas,Sénat
BOIS-NORMAND-PRES-LYRE,27,L'aménagement de la mare de Saint-Just de Bois-Normand,7092,3000,MAUREY Hervé,Sénat
BOISSERON,34,L'aménagement et la mise en accessibilité des abords de la micro-crèche,33016,4278,RAOUL Daniel,Sénat
BOISSET,15,L'aménagement de la route d'Aurillac,79823,10000,-,Réserve ministérielle
BOISSET-LES-PREVANCHES,27,La pose de fenêtres double vitrage à la mairie,12751,2000,PONIATOWSKI Ladislas,Sénat
BOISSET-SAINT-PRIEST,42,L'acquisition d'une débroussailleuse,21130,10000,ACCOYER Bernard,Assemblée nationale
BOISSEY,1,La construction de locaux scolaires et d'une cantine et la réhabilitation d'un bâtiment en mairie,768600,20000,VOISIN Michel,Assemblée nationale
BOISSEZON,81,La réfection des façades de l'église,58491,1792,-,Réserve ministérielle
BOISSISE-LE-ROI,77,"La réhabilitation de la grange située rue de la Sellerie à Orgenoy, en salle polyvalente et local pour les jeunes",487400,50000,MELOT Colette,Sénat
BOISSY-LAMBERVILLE,27,"L'enfouissement de réseaux, rue des Buis",4025,2000,PONIATOWSKI Ladislas,Sénat
BOISSY-LE-CHATEL,77,L'installation d'un self à l'école primaire de la Mare Garenne,25395,10158,RIESTER Franck,Assemblée nationale
BOISSY-SAINT-LEGER,94,La construction d'un terrain de football en synthétique au stade Maurice Préault,721361,20000,LE MENN Jacky,Sénat
BOISTRUDAN,35,"La réhabilitation et l'extension du logement locatif et la création d'une boulangerie, rue François Marie Leroux",348977,40000,MEHAIGNERIE Pierre,Assemblée nationale
BOITRON,61,L'enfouissement des réseaux de télécommunications et d'éclairage public,52910,5000,LENOIR Jean-Claude,Sénat
BOLBEC,76,La restauration de l'église Saint-Michel (tranches ferme et conditionnelle),3384308,22000,MORIN-DESAILLY Catherine,Sénat
BOLSENHEIM,67,La restauration de l'église (2ème phase),243800,19000,HERTH Antoine,Assemblée nationale
BOMMIERS,36,L'acquisition d'un bâtiment en vue de créer des logements d'accueil familial regroupé,120000,30000,-,Réserve ministérielle
BOMPAS,66,L'aménagement d'un espace de détente au quartier du Dauphiné,261725,15000,MACH Daniel,Assemblée nationale
BOMY,62,La restauration du vitrail de la baie n°8 de l'église,11729,5864,ASSOULINE David,Sénat
BONBOILLON,70,La construction d'une station d'épuration et la mise aux normes du réseau d'assainissement,835259,8000,JOYANDET Alain,Assemblée nationale
BONCE,28,"L'aménagement d'un réseau d'eaux pluviales et de bordures de trottoirs, rue de la Vallée verte",85974,10000,VIGIER Philippe,Assemblée nationale
BONCHAMP-LES-LAVAL,53,La construction d'une maison médicale,411415,75000,-,Réserve ministérielle
BONDUES,59,L'acquisition de tableaux interactifs pour les écoles publiques,13565,6782,GERARD Bernard,Assemblée nationale
BONDUES,59,La restructuration et la rénovation du centre communal d'action sociale André Vandaele,53826,20000,LECERF Jean-René,Sénat
BONDY,93,La réhabilitation des anciennes écuries de la gendarmerie,205124,90000,REINER Daniel,Sénat
BONLIER,60,L'acquisition de mobilier pour la bibliothèque municipale,6372,3185,RAOUL Daniel,Sénat
BONNAT,23,L'aménagement du bourg (2ème tranche),262000,9000,VERGNIER Michel,Assemblée nationale
BONNAY,71,"La réhabilitation du local communal ""épicerie""",35280,2000,EMORINE Jean-Paul,Sénat
